tbch;normalized;name;hash;flag
;West Ukrainian National University, West Ukrainian National University, Ternopil, 46027, Ukraine;Research Institute for Intelligent Computer Systems, West Ukrainian National University, 11, Lvivska Str, Ternopil, 46009, Ukraine;6, 24E+18;changed 1st dep by 2nd uni
;West Ukrainian National University, West Ukrainian National University, Ternopil, 46027, Ukraine;Research Institute for Intelligent Computer Systems, West Ukrainian National University, 11, Lvivska Str., Ternopil, 46009, Ukraine;-8,62E+17;changed 1st dep by 2nd uni
;West Ukrainian National University, West Ukrainian National University, Ternopil, 46027, Ukraine;Department of Computer Engineering, West Ukrainian National University, Lviviska, 11, Ternopil, 46003, Ukraine;-5,12E+18;changed 1st dep by 2nd uni
;West Ukrainian National University, West Ukrainian National University, Ternopil, 46027, Ukraine;Department for Information Computer Systems and Control, West Ukrainian National University, Lvivska Str. 11, Ternopil, 46000, Ukraine;-4,46E+18;changed 1st dep by 2nd uni
;West Ukrainian National University, West Ukrainian National University, Ternopil, 46027, Ukraine;Department of Cyber Security, West Ukrainian National University, Ternopil, 46009, Ukraine;3, 05E+18;changed 1st dep by 2nd uni
;West Ukrainian National University, West Ukrainian National University, Ternopil, 46027, Ukraine;Research Institute for Intelligent Computer Systems, West Ukrainian National University, Ternopil, 46009, Ukraine;8, 03E+18;changed 1st dep by 2nd uni
;West Ukrainian National University, West Ukrainian National University, Ternopil, 46027, Ukraine;Department of Criminal Law and Process, West Ukrainian National University, Ternopil, 46009, Ukraine;4, 58E+18;changed 1st dep by 2nd uni
;West Ukrainian National University, West Ukrainian National University, Ternopil, 46027, Ukraine;Department of Applied Mathematics, West Ukrainian National University, Ternopil, 46009, Ukraine;1, 27E+18;changed 1st dep by 2nd uni
;West Ukrainian National University, West Ukrainian National University, Ternopil, 46027, Ukraine;Department of Computer Science, West Ukrainian National University, Ternopil, 46009, Ukraine;8, 27E+17;changed 1st dep by 2nd uni
;West Ukrainian National University, West Ukrainian National University, Ternopil, 46027, Ukraine;Department of Economic Cybernetics and Informatics, West Ukrainian National University, Ternopil, 46009, Ukraine;-1,29E+18;changed 1st dep by 2nd uni
;West Ukrainian National University, West Ukrainian National University, Ternopil, 46027, Ukraine;Faculty of Economics and Management, West Ukrainian National University, Ternopil, 46027, Ukraine;1, 04E+18;changed 1st dep by 2nd uni
;Western Ukrainian National University, Ternopil, Ukraine;Western Ukrainian National University, Ternopil, Ukraine;-4,86E+18;originally correct
;Whirl Software, Kyiv, Ukraine;Whirl Software, Kyiv, Ukraine;2, 34E+18;first neither uni nor dep
;Wilson, 15/13, Mikhailivska St., Odesa, 65005, Ukraine;Wilson, 15/13, Mikhailivska St., Odessa, 65005, Ukraine;-5,10E+18;first neither uni nor dep
;World Bank, Kyiv, Ukraine;World Bank, Kiev, Ukraine;8, 33E+18;first neither uni nor dep
;WUNU, Department of Computer Engineering, Ternopil, Ukraine;WUNU, Department of Computer Engineering, Ternopil, Ukraine;1, 53E+18;first neither uni nor dep
;Yalantis, bul. Slavy, 56, Dnipro, 49156, Ukraine;Yalantis, bul. Slavy, 56, Dnipro, 49156, Ukraine;-9,07E+18;first neither uni nor dep
;Yangel Yuzhnoye State Design Office, 3, Kryvorizka Str., Dnipro, 49008, Ukraine;Yangel Yuzhnoye State Design Office, 3, Kryvorizka Str., Dnipro, 49008, Ukraine;-2,06E+18;first neither uni nor dep
;Yangel Yuzhnoye State Design Office, Yangel Yuzhnoye State Design Office, 3, Kryvorizka Str., Dnipro, 49008, Ukraine;Yangel Yuzhnoye State Design Office, Yangel Yuzhnoye State Design Office, 3, Kryvorizka Str., Dnipro, 49008, Ukraine;-4,57E+18;first neither uni nor dep
;Yaroslav Mudryi National Academy of Law of Ukraine, Kharkiv, Ukraine;Yaroslav Mudryi National Academy of Law of Ukraine, Kharkov, Ukraine;-5,50E+18;originally correct
;Yaroslav Mudryi National Law University, 77 Pushkinska str., Kharkiv, 61024, Ukraine;Yaroslav Mudryi National Law University, 77 Pushkinska str., Kharkiv, 61024, Ukraine;-3,09E+18;originally correct
;Yaroslav Mudryi National Law University, 77, Pushkinskaya str., Kharkiv, 61024, Ukraine;Yaroslav Mudryi National Law University, 77, Pushkinskaya str., Kharkiv, 61024, Ukraine;-4,27E+18;originally correct
;Yaroslav Mudryi National Law University, Department of Civil Law No., Kharkiv, Ukraine;Yaroslav Mudryi National Law University, Department of Civil Law No., Kharkiv, Ukraine;7, 93E+18;originally correct
;Yaroslav Mudryi National Law University, Dynamivska st. 4, Kharkiv, 61023, Ukraine;Yaroslav Mudryi National Law University, Dynamivska st. 4, Kharkiv, 61023, Ukraine;-3,65E+18;originally correct
;YAROSLAV MUDRYI NATIONAL LAW UNIVERSITY, KHARKIV, Ukraine;YAROSLAV MUDRYI NATIONAL LAW UNIVERSITY, KHARKIV, Ukraine;2, 21E+18;originally correct
;Yaroslav Mudryi National Law University, Kharkiv, Ukraine;Yaroslav Mudryi National Law University, Kharkiv, Ukraine;1, 86E+18;originally correct
